C03557	NCCP(O)(O)=O
C04453	CC(C)CCC[CH](C)[CH]3(CC[CH]4(C2(=CC[CH]1(C(C)C(=O)CCC(C)1[CH]2CCC(C)34))))
C18024	CC(C)=CCc1c(O)cc(O)c2C(=O)C[C@H](Oc12)c1ccc(O)cc1O
C01210	CNCCOP(O)(O)=O
C01114	OC[C@@H]1OC(=O)[C@H](O)[C@H]1O
C00986	NCCCN
C17366	CNC(=O)[C@@H](C)[C@@H]1N([C@@H]2CC[C@H](O)[C@H](C)O2)C(=O)\C(=C(\O)/C=C/C(/C)=C/[C@@H](C)[C@H]2O[C@@]3(C)O[C@H](C=C[C@@]33CO3)[C@@H]2C)C1=O
C08392	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO
C02132	CC(=O)CC(=O)C(O)=O
C11256	CCCCC(C=O)NC(C(CC(C)C)NC(=O)OCC1(C=CC=CC=1))=O
C04671	CCCCCC(=O)CC[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
C17579	CC(C(NC2(C(O)[CH]1(OCO[CH]1C(O)C(O)2)))=O)=CC4(=CC=C(OC3(O[CH](C(C)=O)C(O)C(O)3))C(=C4)O)
C14418	C1(=CC(=CC(=C1)[N+](=O)[O-])O)
C20182	CC([CH]2(CCC(=C1([CH](C=C(CC1)C)2))C))C
C12644	C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
C02722	CCCCCC(=O)NC
C01272	O[C@H]1[C@@H](OP(O)(O)=O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1OP(O)(O)=O
C08491	CCC=CCC1(C(=O)CCC1CC([O-])=O)
C11864	[H][C@]12CC[C@]3([H])[C@](CC1=C)(C2)[C@@H](C(O)=O)[C@]1([H])[C@@]2(C)[C@@H](O)CC[C@@]31OC2=O
C02634	N[C@H](CCl)C(O)=O
C11522	[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])[C@H](C)[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=C)C(C)C
C10521	CCN1C[C@@]2(COC)[C@H]3[C@@H](OC)[C@H]4C1[C@@]3([C@@H]1C[C@@]3(O)[C@H](OC(=O)c5ccc(OC)c(OC)c5)[C@@H]1[C@@]4(C[C@@H]3OC)OC(C)=O)[C@H](C[C@H]2O)OC
C00279	[H]C(=O)[C@H](O)[C@H](O)COP(O)(O)=O
C05966	CCCCC[C@H](OO)\C=C\C=C/C\C=C/C\C=C/CCCC(O)=O
C06564	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CCC[C@@H](N)C(O)=O)C(O)=O
C05813	COC1=CC(=O)C=C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)C1=O
C21803	CC1(C=C3(C(=CC([CH]=O)=1)N(CC(O)C(O)C(O)COP([O-])(=O)[O-])C2(C(C(=O)[N-]C(=O)N=2)=N3)))
C06177	C1(C=C(CO)[CH]2([N+]1CCC(O)2))
C16192	C3(OC4(=CC(OC1(C(O)C(C(O)C(COC(CC([O-])=O)=O)O1)O))=CC(O)=C(C(=O)C(C2(=CC=C(C=C2)O))=3)4))
C07593	[H][C@@]1(Cc2c(O1)ccc1C(=O)[C@@]3([H])c4cc(OC)c(OC)cc4OC[C@@]3([H])Oc21)C(C)=C
C14137	C3(=CC=C(C1(OC2(C(C(=O)C=1)=CC(O)=CC=2)))C=C3)
C20980	CC1(C2(=C(C=CC=1)C(=CC(OC)=C2)C(=O)[O-]))
C00054	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
C05235	CC(=O)CO
C11509	[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])[C@](C)(C=O)[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C
C02888	OC[C@H](O)[C@@H](O)[C@H](O)C(=O)COP(O)(O)=O
C05849	CC(C)CCCC(C)CCCC(C)CCCC(C)=CCC12OC1(C)C(=O)c1ccccc1C2=O
C20926	C(NC(=O)CCC([N+])C(=O)[O-])CC1(C=CC(O)=CC=1)
C11638	NCCCS(O)(=O)=O
C19317	C=CCN=C=S
C21830	CC(C)C1(=C(C(O)=C2(C(=C1)CC[CH]3(C(C)(C)CCCC(CO)23)))O)
C10415	C3(=CC(C2(COC1(=CC(=CC(=C1C2=O)O)[O-])))=C(C=C3O)O)
C21736	C(S)CCC([O-])=O
C20379	CC(C=O)=C[CH]1([CH](CC3(C2(=C1C=CC=C2NC=3)))[N+]C)
C16179	CC\C=C/C\C=C/C\C=C/CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C01069	C(N1C=2C(=NC3=C1C=C(C(=C3)C)N)C([N-]C(N2)=O)=O)[C@H](O)[C@H](O)[C@H](O)CO
C17759	COC2(C=C(C=CC(=O)OC1(C(O)C(C(C(O1)CO)O)O))C=CC(O)=2)
C00894	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C=C
C04282	OC1CN=C(C1)C(O)=O
C17788	COC3(=C(OC)C(O)=C2(C(=O)C(=C(C1(C=C(O)C(O)=CC=1))OC2=C3)[O-]))
C20632	C=C3(C2(CC[CH]4(C15(CCCC([CH]1C(C(C2)(C3)4)C(OC)=O)(C)C(O5)=O))))
C20853	CC2(C=C1(C=CC(C)C(CCC(O)CC(O)CC([O-])=O)[CH]1CC2))
C14088	Cc1cccc(C(O)=O)c1O
C19881	C(O)C(O)[CH]4(C(O)C(O)C(O)C(OP([O-])(=O)OP([O-])(=O)OCC1(C(O)C(O)C(O1)N2(C=NC3(=C2N=C(N)NC(=O)3))))O4)
C04277	O=C1CCCCCNC(=O)CCCCCN1
C14408	Clc1cccc(Cl)c1Cl
C01416	[H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)c1ccccc1)C(=O)OC)N2C
C09092	CC(C)C1(=C(C=C2(C(=C1)CC[CH]3(C(C)(C)CCCC(C)23)))O)
C18051	COc1ccc2[nH]c(nc2c1)[S@@](=O)Cc1ncc(C)c(OC)c1C
C02528	CC(CCC(=O)[O-])[CH]2(CC[CH]3([CH]4(C(O)C[CH]1(CC(O)CCC(C)1[CH](CCC(C)23)4))))
C06804	O=C(O)[C@@H](N)CC=1C=CC(=CC1)OS(O)(=O)=O
C01626	CCC25(C=CC[N+]4(CCC1(C3(C=CC(OC)=CC(N(C)[CH]1C(O)(C(=O)OC)C(OC(=O)C)2)=3))[CH]45))
C09844	C[C@@]12CC[C@@H](CC1)C(C)(C)O2
C09900	CO[C@H]1C[C@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
C11967	CC(C)[CH]1(C(C)C=CC7(O1)(O[CH]4(CC(OC(=O)[CH]6(C=C(C(O)[CH]5(C(O)(C(=CC=CC(C)C(OC3(OC(C(OC2(OC(C(O)C(OC)C2)C))C(OC)C3)C))C(C)=CC4)CO5)6))C))C7)))
C00449	C(CC[N+]C(CCC([O-])=O)C([O-])=O)CC([N+])C([O-])=O
C20431	CC3(C(C1(C=CC(O)=CC=1))OC(C2(C=C(O)C(O)=CC=2))C(C)3)
C19962	CC(C=CC1(C(C)(C)CCCC=1C))=CC=CC(=CCO)C
